canon_symbol,found_symbol,value_num,canon_value,rel_error,status,source,pattern
r_c,\rc,5.0,1.40897017e-15,3548691169238876.0,mismatch,VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,newcommand/def
r_c,ORCID,9.0,1.40897017e-15,6387644104629978.0,mismatch,VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,assignment
r_c,r_c,1.409,1.40897017e-15,1000021171491514.8,mismatch,VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,assignment
c,c,1.0,299792458.0,0.999999996664359,mismatch,VAM_7_From_Quantum_Constants_to_Galactic_Swirl/VAM-7-From_Quantum_Constants_to_Galactic_Swirl.tex,assignment
phi,varphi_scale,1000.0,1.618033988749895,617.0339887498949,mismatch,VAM_8_MASTER_Paper/info.md,assignment
alpha,alpha,1.0,0.0072973525643,136.03599917759013,mismatch,VAM_8_MASTER_Paper/info.md,assignment
rho_energy,rho_ae_energy,3.49924562e+35,3.49924562e+35,0.0,ok,VAM_8_MASTER_Paper/info.md,assignment
C_e,Ce,1093845.63,1093845.63,0.0,ok,VAM_8_MASTER_Paper/info.md,assignment
alpha,alpha,0.0072973525643,0.0072973525643,0.0,ok,VAM_8_MASTER_Paper/Masses_Topology.py,assignment
rho_mass,rho_core,3.8934358266918687e+18,3.8934358266918687e+18,0.0,ok,VAM_8_MASTER_Paper/Masses_Topology.py,assignment
C_e,C_e,1093845.63,1093845.63,0.0,ok,VAM_8_MASTER_Paper/Masses_Topology.py,assignment
r_c,r_c,1.40897017e-15,1.40897017e-15,0.0,ok,VAM_8_MASTER_Paper/Masses_Topology.py,assignment
c,c,299792458.0,299792458.0,0.0,ok,VAM_8_MASTER_Paper/Masses_Topology.py,assignment
alpha,alpha,0.0072973525643,0.0072973525643,0.0,ok,VAM_8_MASTER_Paper/MoleculeWeight.py,assignment
rho_mass,rho_core,3.8934358266918687e+18,3.8934358266918687e+18,0.0,ok,VAM_8_MASTER_Paper/MoleculeWeight.py,assignment
C_e,C_e,1093845.63,1093845.63,0.0,ok,VAM_8_MASTER_Paper/MoleculeWeight.py,assignment
r_c,r_c,1.40897017e-15,1.40897017e-15,0.0,ok,VAM_8_MASTER_Paper/MoleculeWeight.py,assignment
c,c,299792458.0,299792458.0,0.0,ok,VAM_8_MASTER_Paper/MoleculeWeight.py,assignment
alpha,alpha,0.0072973525643,0.0072973525643,0.0,ok,VAM_8_MASTER_Paper/proton_neutron_weigth.py,assignment
rho_mass,rho_core,3.8934358266918687e+18,3.8934358266918687e+18,0.0,ok,VAM_8_MASTER_Paper/proton_neutron_weigth.py,assignment
C_e,C_e,1093845.63,1093845.63,0.0,ok,VAM_8_MASTER_Paper/proton_neutron_weigth.py,assignment
r_c,r_c,1.40897017e-15,1.40897017e-15,0.0,ok,VAM_8_MASTER_Paper/proton_neutron_weigth.py,assignment
c,c,299792458.0,299792458.0,0.0,ok,VAM_8_MASTER_Paper/proton_neutron_weigth.py,assignment
r_c,ORCID,9.0,1.40897017e-15,6387644104629978.0,mismatch,VAM_8_MASTER_Paper/VAM-8-Master_Paper.tex,assignment
C_e,distance,1.0,1093845.63,0.9999990857942176,mismatch,VAM_8_MASTER_Paper/VAM-8-Master_Paper.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_8_MASTER_Paper/VAM-8-Master_Paper.tex,assignment
r_c,ORCID,9.0,1.40897017e-15,6387644104629978.0,mismatch,VAM_8_MASTER_Paper/VAM-8.5-Master_Formula.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_8_MASTER_Paper/VAM-8.5-Master_Formula.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_8_MASTER_Paper/VAM-8.5-Master_Formula.tex,assignment
C_e,C_e,1.0938,1093845.63,0.9999990000417153,mismatch,VAM_8_MASTER_Paper/VAM-8.5-Master_Formula.tex,assignment
C_e,C_e,1.0938,1093845.63,0.9999990000417153,mismatch,VAM_8_MASTER_Paper/sections/A_SM.tex,assignment
alpha,alpha,7.297,0.0072973525643,998.9516859988752,mismatch,VAM_8_MASTER_Paper/sections/A_SM.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_8_MASTER_Paper/sections/A_SM.tex,assignment
r_c,r_c,1.4089,1.40897017e-15,999950197668130.0,mismatch,VAM_8_MASTER_Paper/sections/A_SM.tex,assignment
r_c,ORCID,9.0,1.40897017e-15,6387644104629978.0,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/VAM-5-OnAVortexBasedLagrangianUnificationGravityElectromagnetism.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark3.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark3.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark3.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark4.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark4.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark4.tex,assignment
C_e,C_e,1.0938,1093845.63,0.9999990000417153,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark5.tex,assignment
alpha,alpha,1.0,0.0072973525643,136.03599917759013,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark5.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark5.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark6.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark6.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark6.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark7.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark7.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark7.tex,assignment
r_c,r_c,1.40897017,1.40897017e-15,999999999999999.0,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark8.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Appendix_Benchmark8.tex,assignment
r_c,r_c,1.40897017e-15,1.40897017e-15,0.0,ok,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Calucalte.py,assignment
C_e,C_e,1093845.63,1093845.63,0.0,ok,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Calucalte.py,assignment
rho_mass,rho_core,3.8934358266918687e+18,3.8934358266918687e+18,0.0,ok,VAM_5_Lagrangian_Gravity_Electromagnetism/Appendix/Calucalte.py,assignment
r_c,ORCID,9.0,1.40897017e-15,6387644104629978.0,mismatch,VAM_6_Knotted_Gauge_Fields/VAM-6-Knotted_Gauge_Fields.tex,assignment
C_e,distance,1.0,1093845.63,0.9999990857942176,mismatch,VAM_6_Knotted_Gauge_Fields/VAM-6-Knotted_Gauge_Fields.tex,assignment
r_c,n_circle,12.0,1.40897017e-15,8516858806173304.0,mismatch,VAM_6_Knotted_Gauge_Fields/images/FatTreFoil.py,assignment
alpha,alpha,0.7,0.0072973525643,94.92519942431309,mismatch,VAM_6_Knotted_Gauge_Fields/images/FatTreFoil.py,assignment
r_c,n_circle,20.0,1.40897017e-15,1.419476467695551e+16,mismatch,VAM_6_Knotted_Gauge_Fields/images/mechanical_trefoil.py,assignment
alpha,alpha,0.95,0.0072973525643,129.18419921871063,mismatch,VAM_6_Knotted_Gauge_Fields/images/mechanical_trefoil.py,assignment
r_c,r_c,1.409e-15,1.40897017e-15,2.1171491515646622e-05,mismatch,VAM_6_Knotted_Gauge_Fields/images/PressureProfileAroundCore.py,assignment
alpha,alpha,0.1,0.0072973525643,12.703599917759012,mismatch,VAM_6_Knotted_Gauge_Fields/images/PressureProfileAroundCore.py,assignment
alpha,alpha,0.05,0.0072973525643,5.851799958879506,mismatch,VAM_6_Knotted_Gauge_Fields/images/PressureProfileAroundCore.py,assignment
alpha,alpha,0.15,0.0072973525643,19.555399876638518,mismatch,VAM_6_Knotted_Gauge_Fields/images/PressureProfileAroundCore.py,assignment
alpha,alpha,0.6,0.0072973525643,81.22159950655407,mismatch,VAM_6_Knotted_Gauge_Fields/images/SwirlVSGauge.py,assignment
alpha,alpha,0.8,0.0072973525643,108.62879934207211,mismatch,VAM_6_Knotted_Gauge_Fields/images/SwirlVSGauge.py,assignment
r_c,rc,1.409e-15,1.40897017e-15,2.1171491515646622e-05,mismatch,VAM_6_Knotted_Gauge_Fields/images/TimeDilationCore.py,assignment
c,c,300000000.0,299792458.0,0.0006922855944561488,mismatch,VAM_6_Knotted_Gauge_Fields/images/TimeDilationCore.py,assignment
C_e,C_e,1.0,1093845.63,0.9999990857942176,mismatch,VAM_6_Knotted_Gauge_Fields/section/03_natural_æther_constants.tex,assignment
r_c,r_c,1.0,1.40897017e-15,709738233847774.5,mismatch,VAM_6_Knotted_Gauge_Fields/section/03_natural_æther_constants.tex,assignment
C_e,distance,1.5,1093845.63,0.9999986286913264,mismatch,VAM_6_Knotted_Gauge_Fields/section/11_Knot_Taxonomy.tex,assignment
phi,varphi,1.618,1.618033988749895,2.1006202670104405e-05,mismatch,VAM_6_Knotted_Gauge_Fields/section/13_DerivationOfBaryons.tex,assignment
c,c,2.9979,299792458.0,0.999999990000082,mismatch,VAM_6_Knotted_Gauge_Fields/section/13_DerivationOfBaryons.tex,assignment
phi,Phi,4.0,1.618033988749895,1.4721359549995794,mismatch,VAM_6_Knotted_Gauge_Fields/section/A1_DerivationOfTheKineticEnergyOfACircularVortexLoop.tex,assignment
r_c,r_c,1.40897,1.40897017e-15,999999879344499.2,mismatch,VAM_6_Knotted_Gauge_Fields/section/A4_CalculateElectronHelicity.tex,assignment
C_e,C_e,1.09384563,1093845.63,0.999999,mismatch,VAM_6_Knotted_Gauge_Fields/section/A4_CalculateElectronHelicity.tex,assignment
C_e,C_e,2.0,1093845.63,0.9999981715884352,mismatch,VAM_6_Knotted_Gauge_Fields/section/A8_DerivationPlancksConstant.tex,assignment
